gene,p_value,coefficients,variance_explained
Ncoa2,0.9999320887120261,"[ 0.00628592  0.00156242 -0.00447553  0.00469329  0.00519819 -0.01326428
 -0.95170495]","OrderedDict([('explained_deviance', 4.6585311463953616e-07), ('McFadden', 0.9999994927388077), ('McFadden_adj', -2.3940642546183e-06)])"
Tram1,0.95452411287788,"[-0.0235604  -0.00969391  0.00902039 -0.02600309 -0.02311931  0.07335631
 -0.94912137]","OrderedDict([('explained_deviance', 5.684424203344918e-06), ('McFadden', 0.9999948366442496), ('McFadden_adj', 2.3219319870149135e-06)])"
Lactb2,0.8615554847792064,"[ 0.02860042  0.00896525 -0.01674222  0.0244735   0.02972888 -0.07502582
 -0.96480963]","OrderedDict([('explained_deviance', 1.2019638106708364e-05), ('McFadden', 0.9999866678724371), ('McFadden_adj', 1.0446436801592185e-05)])"
Eya1,0.9980201178706439,"[ 0.01887215  0.00777214 -0.00790329  0.0154943   0.0188426  -0.05307792
 -0.97484052]","OrderedDict([('explained_deviance', 1.430358241183427e-06), ('McFadden', 0.9999990065646813), ('McFadden_adj', -1.8250399163033393e-06)])"
Kcnb2,0.9800872674593174,"[-9.34112031e-03 -6.64163774e-03 -7.43455184e-04 -6.10783745e-03
 -1.02146163e-02  3.30486623e-02 -9.44961533e-01]","OrderedDict([('explained_deviance', 1.3164147659727732e-06), ('McFadden', 0.9999985822626868), ('McFadden_adj', -1.4813180495565348e-06)])"
Terf1,0.9757659215244318,"[ 1.04843968e-03 -3.65343261e-04 -2.42825799e-03 -3.91866480e-03
 -6.97236752e-03  1.26361888e-02 -1.01877370e+00]","OrderedDict([('explained_deviance', 2.477785387422493e-06), ('McFadden', 0.9999967658255958), ('McFadden_adj', 6.800399870998675e-07)])"
Sbspon,0.9999905300917523,"[ 0.00938993  0.00349702 -0.00458198  0.00764852  0.0086221  -0.0245756
 -0.98393602]","OrderedDict([('explained_deviance', 3.717381813483911e-07), ('McFadden', 0.9999997120329646), ('McFadden_adj', -2.4621984255901452e-06)])"
Rpl7,0.9972497137205885,"[-0.02463091 -0.00944997  0.0123458  -0.01374644 -0.017982    0.05346351
 -0.98552562]","OrderedDict([('explained_deviance', 2.0164593700355837e-06), ('McFadden', 0.9999984835633386), ('McFadden_adj', -1.1736717602239821e-06)])"
Rdh10,0.9829316030275536,"[ 0.00475941  0.00166279 -0.00177047  0.0096287   0.0047271  -0.01900753
 -1.00180357]","OrderedDict([('explained_deviance', 2.4025812080941122e-06), ('McFadden', 0.999997383221417), ('McFadden_adj', -4.029851963238684e-08)])"
Stau2,0.8660811867260974,"[-5.46699827e-03 -1.00142564e-03  5.93711550e-03  7.01521864e-03
  1.58203590e-03 -8.06595121e-03 -1.02731927e+00]","OrderedDict([('explained_deviance', 6.825558292011813e-06), ('McFadden', 0.9999920807877662), ('McFadden_adj', 5.389887428708384e-06)])"
Ube2w,0.9918547172237057,"[-0.02044243 -0.00690918  0.01220684 -0.00874476 -0.01073388  0.03462339
 -0.96054384]","OrderedDict([('explained_deviance', 2.4845019276353852e-06), ('McFadden', 0.9999974213172518), ('McFadden_adj', -2.494041488887433e-07)])"
